criterion,component,score_1_best_5_worst,source,rationale
Completeness,Building,2,Microsoft/WSP released pedigree matrix assessment,"Building: The production and end of life impacts of all key materials for building envelop and floor slabs are modeled. The dataset used for matching account for the input and outputs associated with the production of the materials used. The on-site construction input and output flows of the datacenter are not covered in the building phase, and similarly the impacts associated with the office spaces are not included in the building impacts. But there is still 60 to 79% coverage of material used for the datacenter  envelope and its disposal. Hence the completeness of the buildings model is good and is scored as 2."
Completeness,Compute Server,2,Microsoft/WSP released pedigree matrix assessment,"Compute Server: The production and end-of-life impacts of compute server are modeled using the compute server BoM. Many electronics components are proxied and hence the inputs and outputs from the manufacturing of the electronic components might vary from the inputs and outputs from the actual manufacturing process. While assembly and testing energy is included in its upstream impacts, there is no data on the waste generated during the assembly of the server components. Similarly, the end-of-life is modeled using the material constitution of these electronics, and hence may not cover some waste processing stages associated with the disposal mechanism. Overall there is 60 to 79% coverage of compute server production and disposal. Hence the completeness of the compute server model is good and is scored as 2."
Completeness,Storage Server,3,Microsoft/WSP released pedigree matrix assessment,"Storage Server: The production and end-of-life impacts of storage server are modeled using scaled proxies from the compute server BoM. Many electronics components are proxied and hence the inputs and outputs from the manufacturing of the electronic components might vary from the inputs and outputs from the actual manufacturing process. While assembly and testing energy is included in its upstream impacts, there is no data on the waste generated during the assembly of the server components. Similarly, the end-of-life is modeled using the material constitution of these electronics, and hence may not cover some waste processing stages associated with the disposal mechanism. Overall there is 40 to 59% coverage of compute server production and disposal. Hence the completeness of the compute server model is good and is scored as 3."
Completeness,Networking Equipment,5,Microsoft/WSP released pedigree matrix assessment,"Networking Equipment: Since the networking equipment impacts were modeled as a scaled version of the compute server, it is not clear if all input and output flows can be accounted for. Hence the completeness score for the networking equipment is scored as 5."
Completeness,Rack/Tank,1,Microsoft/WSP released pedigree matrix assessment,"Rack/Tank: The production and end-of-life of racks and tanks were modeled using the material composition of the structure. The inputs and outputs associated with the material production were included in the datasets identified. The electronics associated with the power distribution unit (PDU) were not included in the rack/ tank model since there was no clarity on the PDU for immersion cooling. But the overall model covers 80% of the input and output flows associated with rack and tank, and completeness is scored as 1."
Completeness,Cable,1,Microsoft/WSP released pedigree matrix assessment,"Cable: Cable production and end-of-life were based on input from peer reviewed literature and scaled based on the MW IT capacity of the datacenter. The datasets identified were best matches for the different cables used in the literature study, covering more than 80% upstream inputs and outputs associated with cable production and disposal. The completeness score is 1."
Completeness,Support Equipment,2,Microsoft/WSP released pedigree matrix assessment,Support Equipment: Most of the supporting equipment were modeled using EPDs while data gaps were filled using proxies from LCA for experts. The EPDs cover more than 70% of the equipment used across all cooling technologies. All end-of-life impacts were modeled using proxies. Overall this covers 60 to 79% of all input and output flows associated with the production and end-of-life of supporting equipment. Hence completeness score is 2.
Completeness,Fluid,1,Microsoft/WSP released pedigree matrix assessment,Fluid: All input and output flows for production and disposal of two phase immersion fluid are modeled using primary information from the provider. The dataset used for the production and disposal of one phase fluid as well as the cold plate fluid covers the inputs and outputs of upstream activities. Overall 80% or more of the input and output flows of the system are covered using the models developed for the fluids and coolants. Hence the completeness score is 1.
Temporal correlation,Use Phase,2,Microsoft/WSP released pedigree matrix assessment,Use Phase: The latest (at the time of the model development 3 years ago) electricity and water datasets are used for use phase water and energy consumption. The data collected and datasets used were from 2020 which is less than 6 years ago. Hence the temporal correlation score is 2.
Temporal correlation,Building,2,Microsoft/WSP released pedigree matrix assessment,Building: Building data was collected and data used in the Tally model were from 2020. Some of the disposal datasets used for building material disposal is older and hence the datasets used are at least 3 years old and at most 6 years old. Hence the temporal correlation is 2.
Temporal correlation,Compute Server,3,Microsoft/WSP released pedigree matrix assessment,"Compute Server: While the BoM data from Microsoft is from 2020, the datasets used to model electronics components were first setup in 2012. The background factors used in these datasets are constantly updated but the foundational model for electronics data has not been updated since its inception in mid-2010's. This makes the foundational models less than 10 years old and hence the temporal correlation of the compute server model is scored as 3. "
Temporal correlation,Storage Server,3,Microsoft/WSP released pedigree matrix assessment,"Storage Server: Since the storage server components were scaled based on models developed for compute servers, the temporal correlation of the storage server is also scored as 3."
Temporal correlation,Networking Equipment,3,Microsoft/WSP released pedigree matrix assessment,"Networking Equipment: Since the networking equipment impacts were scaled based on the compute server impacts, the temporal correlation of the networking equipment is also scored as 3."
Temporal correlation,Rack/Tank,2,Microsoft/WSP released pedigree matrix assessment,Rack/Tank: Rack and tank material data was collected from 2020 and the most recent datasets were matched to these materials. But some of the disposal datasets used for rack and tank material disposal is older and hence the datasets used are at least 3 years old and at most 6 years old. Hence the temporal correlation is 2.
Temporal correlation,Cable,3,Microsoft/WSP released pedigree matrix assessment,"Cable: The peer reviewed literature used for modeling cables is from 2015, but the datasets used to model these cables are more recent. This applies for both the production and the end-of-life models. Since the original data from the paper is 8 years old, the temporal correlation of the cables model is scored as 3."
Temporal correlation,Support Equipment,5,Microsoft/WSP released pedigree matrix assessment,"Support Equipment: There were multiple EPD's used for chillers, air handlers, ducts, etc. The oldest EPD was from 2004 which is close to 20 years old. The production and disposal information from these datasets correspond to the year of the EPD, but this is still the best available data. Hence the temporal correlation is conservatively set at 5 due to the age of the oldest EPD."
Temporal correlation,Fluid,2,Microsoft/WSP released pedigree matrix assessment,"Fluid: Fluid and coolant production and disposal data are from 2020, which is less than 6 years old. Hence the temporal correlation of fluids model is 2."
Geographical correlation,Use Phase,1,Microsoft/WSP released pedigree matrix assessment,"Use Phase: Microsoft datacenters are located all over the world but this assessment considered US locations. The use phase power data was specific to US location and were matched to US electricity grid datasets. The use phase water calculations were carried out based on cooling requirements based on the US locations. Since both the data and the datasets are at the same geographical resolution with clear area of study, the geographical correlation is scored as 1."
Geographical correlation,Building,4,Microsoft/WSP released pedigree matrix assessment,"Building: The data provided Microsoft for buildings is specific to the site but the dataset to which the materials are matched to, for production and disposal, are national datasets. The data are outside of three levels of resolution but are related to the area of study. Hence the geographic correlation score is 4."
Geographical correlation,Compute Server,1,Microsoft/WSP released pedigree matrix assessment,"Compute Server: Microsoft servers BoMs are similar across the globe. The electronics data used to model the BoM elements are global datasets. This is the case for both production and disposal of servers. Since both the data and the datasets are at the same geographical resolution with clear area of study, the geographical correlation is scored as 1."
Geographical correlation,Storage Server,1,Microsoft/WSP released pedigree matrix assessment,"Storage Server: Since storage server components were proxied and scaled based on components built for the compute server, the datasets used here are also global datasets. Storage servers used by Microsoft are similar across the globe. This is the case for both production and disposal of servers. Since both the data and the datasets are at the same geographical resolution with clear area of study, the geographical correlation is scored as 1."
Geographical correlation,Networking Equipment,1,Microsoft/WSP released pedigree matrix assessment,"Networking Equipment: Since networking equipment impacts were scaled based on the compute server impacts, the datasets resolution is global. Networking equipment used by Microsoft are similar across the globe. This is the case for both production and disposal of networking equipment. Since both the data and the datasets are at the same geographical resolution with clear area of study, the geographical correlation is scored as 1."
Geographical correlation,Rack/Tank,3,Microsoft/WSP released pedigree matrix assessment,"Rack/Tank: The rack and tank material data provided by Microsoft is similar for racks and tanks used across the world and the datasets used to model these material are mostly national level data. This is the case for both production and disposal of racks and tanks. The difference in resolution between the data and the datasets is greater than 2, but this is within the area of study. Hence the geographical correlation is scored as 3."
Geographical correlation,Cable,1,Microsoft/WSP released pedigree matrix assessment,Cable: Cable data from the peer reviewed literature is from a study at the national scale and the datasets used to model cables and their disposal at the national level. Hence both data and datasets are at the same geographical resolution and are within the same area of study. Hence the geographical correlation is 1.
Geographical correlation,Support Equipment,1,Microsoft/WSP released pedigree matrix assessment,"Support Equipment: The EPDs developed for the supporting equipment are used globally. The supporting equipment data, specifically the equipment type data, provided by Microsoft is similar across all their global datacenters. Both data and datasets are at the same geographical resolution, global, and are within the same area of study. This is the case for both production and disposal of supporting equipment. Hence the geographical correlation is 1."
Geographical correlation,Fluid,4,Microsoft/WSP released pedigree matrix assessment,"Fluid: fluid data provided by the fluid producer and Microsoft were for the US. The datasets used to match the fluid production and disposal were a mix of US and global average datasets. Conservatively there is a difference of three levels of resolution, but there is overlap in the area of study. Hence the geographical correlation is 4."
Technological correlation,Use Phase,1,Microsoft/WSP released pedigree matrix assessment,"Use Phase: The data sources used for electricity and water consumption are representative of real life activities and hence have similar material and energy flows for electricity and water production. The operational conditions for energy production as well as water pumping and conveyance are also similar between the datasets, the electricity production system and water extraction and conveyance systems. The material quality of the input used for electricity generation as well as the quality of water based on source is also similar to the characteristics of data provided by Microsoft. The datasets have similar production efficiencies and are representative of the electricity production in the US which is the scale at which data was provided by Microsoft. Hence all four categories are equivalent between the data sourced from Microsoft and the dataset identified for modeling. Hence the technological correlation score is 1."
Technological correlation,Building,2,Microsoft/WSP released pedigree matrix assessment,"Building: Building construction material is based on the dimensions of the building while the building impacts were modeled based on only the square footage area leading to differences in material and energy quantity in and out of the production and disposal of building materials. The material quality of the actual material and the datasets used are equivalent since the datasets are based on actual production processes for the material. The datasets used represent the material used to build and also represent the functionality of the building, hence the operational conditions are similar between the material data and the datasets. The buildings model represents the scale at which the actual datacenter is built. There are three equivalent activities, hence the technological correlation score is 2."
Technological correlation,Compute Server,2,Microsoft/WSP released pedigree matrix assessment,"Compute Server: The compute server impacts dependent on the components in the server. The BoM components are closely matched exactly to the datasets that represent the components or proxies are identified. These proxies are representative of efficiency of the components, but since there are proxies there will be differences in material and energy flows in and out of the production and disposal of the server components. The material quality represented in the datasets are similar to the material quality of components in production process. The model is built to be scaled and can be reproduced for multiple servers. There are three equivalencies and hence the technological score is 2."
Technological correlation,Storage Server,3,Microsoft/WSP released pedigree matrix assessment,"Storage Server: Since components of the storage server are proxied using components built for the compute server, there is no equivalence between the data source and datasets for process design and operational conditions. But the material quality is similar since the datasets use material that is representative of the quality of material used in a production line. There is also equivalence is scaling since the results can be consistently replicated with more storage servers, just like the real product. Since there are two equivalencies, the technological correlation score is 3."
Technological correlation,Networking Equipment,4,Microsoft/WSP released pedigree matrix assessment,"Networking Equipment: Since the networking equipment impacts are modeled by scaling the impacts of the compute server. Hence there is no process design, operating conditions, and material quality equivalence between the model datasets and actual data. Scaling is equivalent since the modeled data and the data sources are at the same scale. With one equivalent category, the technological correlation is scored at 4."
Technological correlation,Rack/Tank,3,Microsoft/WSP released pedigree matrix assessment,"Rack/Tank: The process design for rank and tank is similar because the material and energy flow in the rack and tank model is similar to that of rack and tank production and disposal. The operation conditions for the production and disposal of racks and tanks are not equivalent since rack manufacturing impacts are not considered. The material quality is equivalent since the datasets match the material used in the rack and tank. The model and the data provided are not equivalent in scale since data provided was based on a development scale but the model is built to represent a commercial scale. Since there are two equivalent categories, the technological correlation is 3."
Technological correlation,Cable,3,Microsoft/WSP released pedigree matrix assessment,"Cable: Cable data is used from literature and hence there is no process design and operational condition equivalence between the cable model and the cables used in the datacenter itself. The material quality is similar since Microsoft indicated that the cable proxy used were similar to the cables used in the datacenter. The cable datasets were also based on the commercial scale production of cable, which is the scale at which the cables used in the datacenter will be produced and disposed. There are two equivalent categories and hence the technological correlation is 3."
Technological correlation,Support Equipment,1,Microsoft/WSP released pedigree matrix assessment,"Support Equipment: The material flow and energy flow for supporting equipment from the EPDs are similar to that of equipment procured for the datacenter. The material quality is also equivalent since the EPDs represent standard production and disposal practices that are typically used for similar products. The EPDs are generated for products at the commercial scale, the scale at which the equipment that Microsoft purchases are also produced. There are four equivalent categories and hence the technological correlation score is 1."
Technological correlation,Fluid,1,Microsoft/WSP released pedigree matrix assessment,"Fluid: Primary data is used for two phase immersion, a proxy is used for one phase immersion, and an equivalent model is used for cold plate coolant. Overall the process design is equivalent since the models generated for the fluids and coolant represent the material and energy flows needed to produce and dispose the fluids. The operating conditions for these fluids and coolants are also equivalent since the performance of the fluid and coolant are modeled through expert input from Microsoft. The material quality of the inputs for the  products themselves and the model are similar since identical materials are used in the model. The model and the data used to model are for the fluids and coolants produced at the commercial scale. There is equivalence in all four categories and hence the technological correlation score is 1."
